"Package";"Version";"License";"NeedsCompilation";"recDep";"depLen";"OBSpkg";"File";"OBSVersion"
"A3";"1.0.0";"GPL (>= 2)";"no";"xtable pbapply";2;"R-A3";"A3_1.0.0.tar.gz";"1.0.0"
"aaSEA";"1.1.0";"GPL-3";"no";"DT networkD3 shiny shinydashboard magrittr Bios2cor seqinr plotly Hmisc bio3d circular bigmemory igraph htmltools htmlwidgets jsonlite crosstalk promises Formula ggplot2 latticeExtra acepack gtable gridExtra data.table htmlTable viridis base64enc scales httr digest viridisLite tidyr hexbin RColorBrewer dplyr tibble lazyeval rlang purrr ade4 segmented httpuv mime xtable R6 sourcetools later crayon fastmap pixmap sp Rcpp bigmemory.sri BH mvtnorm ellipsis generics glue lifecycle tidyselect vctrs isoband withr stringr knitr checkmate rstudioapi yaml curl openssl pkgconfig png jpeg farver labeling munsell cli fansi pillar stringi backports assertthat testthat evaluate highr markdown xfun colorspace askpass utf8 sys pkgload praise desc pkgbuild rprojroot callr prettyunits processx ps";101;NA;NA;NA
"ABACUS";"1.0.0";"GPL-3";"no";"ggplot2 shiny digest glue gtable isoband rlang scales tibble withr httpuv mime jsonlite xtable htmltools R6 sourcetools later promises crayon fastmap Rcpp BH testthat magrittr farver labeling lifecycle munsell RColorBrewer viridisLite cli ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";52;NA;NA;NA
"abbyyR";"0.5.5";"MIT + file LICENSE";"no";"httr XML curl readr plyr progress jsonlite mime openssl R6 Rcpp hms prettyunits crayon tibble clipr BH pkgconfig rlang vctrs askpass cli ellipsis fansi lifecycle magrittr pillar sys assertthat glue utf8 digest";32;NA;NA;NA
"abc";"2.1";"GPL (>= 3)";"no";"abc.data quantreg locfit SparseM MatrixModels";5;NA;NA;NA
"abc.data";"1.0";"GPL (>= 3)";"no";"";0;"R-abc.data";"abc.data_1.0.tar.gz";"1.0"
"ABC.RAP";"0.9.0";"GPL-3";"no";"";0;"R-ABC.RAP";"ABC.RAP_0.9.0.tar.gz";"0.9.0"
"abcADM";"1.0";"GPL-3";"yes";"Rcpp BH";2;NA;NA;NA
"ABCanalysis";"1.2.1";"GPL-3";"no";"plotrix";1;"R-ABCanalysis";"ABCanalysis_1.2.1.tar.gz";"1.2.1"
"abcdeFBA";"0.4";"GPL-2";"no";"Rglpk rgl corrplot htmlwidgets htmltools knitr jsonlite shiny magrittr crosstalk manipulateWidget slam lazyeval R6 digest Rcpp rlang yaml evaluate highr markdown stringr xfun miniUI base64enc webshot httpuv mime xtable sourcetools later promises crayon fastmap BH glue stringi callr processx ps";40;NA;NA;NA
"ABCoptim";"0.15.0";"MIT + file LICENSE";"yes";"Rcpp";1;"R-ABCoptim";"ABCoptim_0.15.0.tar.gz";"0.15.0"
"ABCp2";"1.2";"GPL-2";"no";"";0;"R-ABCp2";"ABCp2_1.2.tar.gz";"1.2"
"abcrf";"1.8.1";"GPL (>= 2)";"yes";"readr matrixStats ranger doParallel foreach stringr Rcpp RcppArmadillo iterators RcppEigen tibble hms R6 clipr crayon BH glue magrittr stringi pkgconfig rlang vctrs cli ellipsis fansi lifecycle pillar assertthat utf8 digest";30;NA;NA;NA
"abcrlda";"1.0.3";"GPL-3";"no";"";0;"R-abcrlda";"abcrlda_1.0.2.tar.gz";"1.0.2"
"abctools";"1.1.3";"GPL (>= 2)";"yes";"abc abind plyr Hmisc abc.data quantreg locfit Formula ggplot2 latticeExtra acepack gtable gridExtra data.table htmlTable viridis htmltools base64enc Rcpp digest glue isoband rlang scales tibble withr stringr knitr magrittr checkmate htmlwidgets rstudioapi png jpeg RColorBrewer SparseM MatrixModels viridisLite backports jsonlite yaml testthat evaluate highr markdown xfun farver labeling lifecycle munsell R6 stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat mime colorspace utf8 pkgload praise desc pkgbuild rprojroot callr prettyunits processx ps";72;NA;NA;NA
"abd";"0.2-8";"GPL-2";"no";"mosaic dplyr ggformula mosaicData mosaicCore ggplot2 ggrepel rlang tidyr readr latticeExtra ggdendro gridExtra glue broom leaflet backports generics purrr reshape2 stringr tibble ellipsis lifecycle magrittr R6 tidyselect vctrs ggstance ggforce digest gtable isoband scales withr Rcpp png jpeg RColorBrewer base64enc crosstalk htmlwidgets htmltools markdown raster sp viridis leaflet.providers lazyeval hms clipr crayon BH stringi jsonlite tweenr polyclip RcppEigen plyr pkgconfig yaml testthat xfun mime farver labeling munsell viridisLite cli fansi pillar assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits processx ps";85;NA;NA;NA
